model,vectorizer,acc,prec,rec,f1,auc,_y_score
LR,LR+BOW,0.9071052631578947,0.906988683127866,0.9071052631578947,0.9070329529081516,0.983131186518929,"[[2.67077152e-03 3.56710691e-05 9.96541355e-01 7.52202432e-04]
 [5.39843264e-09 1.96254303e-09 7.49665865e-09 9.99999985e-01]
 [3.43458171e-04 2.36639214e-04 1.22732077e-01 8.76687825e-01]
 ...
 [1.83464724e-02 9.79036488e-01 6.20169925e-04 1.99686953e-03]
 [3.06971167e-04 1.82404094e-05 9.99536617e-01 1.38171800e-04]
 [6.96674654e-05 1.87520306e-04 8.26319716e-01 1.73423097e-01]]"
LR,LR+TFIDF,0.9143421052631578,0.9141278162373218,0.914342105263158,0.9141660051116762,0.9833928208679594,"[[0.03411247 0.00207674 0.9536974  0.01011338]
 [0.00192411 0.00584206 0.002203   0.99003083]
 [0.00976833 0.01431553 0.16086903 0.81504711]
 ...
 [0.05232593 0.91186205 0.01432582 0.02148621]
 [0.06185737 0.01918734 0.86786869 0.0510866 ]
 [0.01107934 0.01178517 0.6646854  0.3124501 ]]"
LR,LR+Word2Vec,0.8830263157894737,0.8827034801702188,0.8830263157894737,0.8828383978500693,0.972818190212373,"[[5.53780354e-02 2.56995544e-04 9.08074673e-01 3.62902958e-02]
 [4.76451069e-03 5.42654615e-04 9.44043864e-03 9.85252396e-01]
 [7.10030683e-03 8.75013088e-04 1.15898258e-01 8.76126422e-01]
 ...
 [2.40543592e-02 9.64601103e-01 7.18514761e-03 4.15939068e-03]
 [4.82555840e-01 1.55036465e-02 3.36279599e-01 1.65660915e-01]
 [8.18927828e-04 2.37322903e-05 2.10827904e-01 7.88329436e-01]]"
